Tid ;FT0010 Flow : (M³/t);;;
19-04-2018 06:48;66;;;
19-04-2018 06:48;66;;;
19-04-2018 06:48;66;;;
19-04-2018 06:48;66;;;
19-04-2018 06:48;66;;;
19-04-2018 06:48;66;;;
19-04-2018 06:48;66;;;
19-04-2018 06:48;66;;;
19-04-2018 06:49;66;;;
19-04-2018 06:49;66;;;
19-04-2018 06:49;66;;;
19-04-2018 06:49;66;;;
19-04-2018 06:49;66;;;
19-04-2018 06:49;66;;;
19-04-2018 06:49;66;;;
19-04-2018 06:49;66;;;
19-04-2018 06:49;66;;;
19-04-2018 06:49;66;;;
19-04-2018 06:49;66;;;
19-04-2018 06:49;66;;;
19-04-2018 06:50;66;;;
19-04-2018 06:50;66;;;
19-04-2018 06:50;66;;;
19-04-2018 06:50;66;;;
19-04-2018 06:50;66;;;
19-04-2018 06:50;66;;;
19-04-2018 06:50;66;;;
19-04-2018 06:50;66;;;
19-04-2018 06:50;66;;;
19-04-2018 06:50;66;;;
19-04-2018 06:50;66;;;
19-04-2018 06:50;66;;;
19-04-2018 06:51;66;;;
19-04-2018 06:51;66;;;
19-04-2018 06:51;66;;;
19-04-2018 06:51;66;;;
19-04-2018 06:51;66;;;
19-04-2018 06:51;66;;;
19-04-2018 06:51;66;;;
19-04-2018 06:51;66;;;
19-04-2018 06:51;66;;;
19-04-2018 06:51;66;;;
19-04-2018 06:51;66;;;
19-04-2018 06:51;66;;;
19-04-2018 06:52;66;;;
19-04-2018 06:52;66;;;
19-04-2018 06:52;66;;;
19-04-2018 06:52;66;;;
19-04-2018 06:52;66;;;
19-04-2018 06:52;66;;;
19-04-2018 06:52;66;;;
19-04-2018 06:52;66;;;
19-04-2018 06:52;66;;;
19-04-2018 06:52;66;;;
19-04-2018 06:52;66;;;
19-04-2018 06:52;66;;;
19-04-2018 06:53;66;;;
19-04-2018 06:53;66;;;
19-04-2018 06:53;66;;;
19-04-2018 06:53;66;;;
19-04-2018 06:53;66;;;
19-04-2018 06:53;66;;;
19-04-2018 06:53;66;;;
19-04-2018 06:53;66;;;
19-04-2018 06:53;66;;;
19-04-2018 06:53;66;;;
19-04-2018 06:53;66;;;
19-04-2018 06:53;66;;;
19-04-2018 06:54;66;;;
19-04-2018 06:54;66;;;
19-04-2018 06:54;66;;;
19-04-2018 06:54;66;;;
19-04-2018 06:54;66;;;
19-04-2018 06:54;66;;;
19-04-2018 06:54;66;;;
19-04-2018 06:54;66;;;
19-04-2018 06:54;66;;;
19-04-2018 06:54;66;;;
19-04-2018 06:54;66;;;
19-04-2018 06:54;66;;;
19-04-2018 06:55;66;;;
19-04-2018 06:55;66;;;
19-04-2018 06:55;66;;;
19-04-2018 06:55;66;;;
19-04-2018 06:55;66;;;
19-04-2018 06:55;66;;;
19-04-2018 06:55;66;;;
19-04-2018 06:55;66;;;
19-04-2018 06:55;66;;;
19-04-2018 06:55;66;;;
19-04-2018 06:55;66;;;
19-04-2018 06:55;66;;;
19-04-2018 06:56;66;;;
19-04-2018 06:56;66;;;
19-04-2018 06:56;66;;;
19-04-2018 06:56;66;;;
19-04-2018 06:56;66;;;
19-04-2018 06:56;66;;;
19-04-2018 06:56;66;;;
19-04-2018 06:56;66;;;
19-04-2018 06:56;66;;;
19-04-2018 06:56;66;;;
19-04-2018 06:56;66;;;
19-04-2018 06:56;66;;;
19-04-2018 06:57;66;;;
